    PID USER     COMMAND         %CPU %MEM     ELAPSED CMD
      1 root     systemd          0.0  0.0    06:19:57 /sbin/init
      2 root     kthreadd         0.0  0.0    06:19:57 [kthreadd]
      3 root     pool_workqueue_  0.0  0.0    06:19:57 [pool_workqueue_release]
      4 root     kworker/R-rcu_g  0.0  0.0    06:19:57 [kworker/R-rcu_gp]
      5 root     kworker/R-sync_  0.0  0.0    06:19:57 [kworker/R-sync_wq]
      6 root     kworker/R-kvfre  0.0  0.0    06:19:57 [kworker/R-kvfree_rcu_reclaim]
      7 root     kworker/R-slub_  0.0  0.0    06:19:57 [kworker/R-slub_flushwq]
      8 root     kworker/R-netns  0.0  0.0    06:19:57 [kworker/R-netns]
     11 root     kworker/0:0H-ev  0.0  0.0    06:19:57 [kworker/0:0H-events_highpri]
     14 root     kworker/R-mm_pe  0.0  0.0    06:19:57 [kworker/R-mm_percpu_wq]
     15 root     ksoftirqd/0      0.0  0.0    06:19:57 [ksoftirqd/0]
     16 root     rcu_preempt      0.0  0.0    06:19:57 [rcu_preempt]
     17 root     rcub/0           0.0  0.0    06:19:57 [rcub/0]
     18 root     rcu_exp_par_gp_  0.0  0.0    06:19:57 [rcu_exp_par_gp_kthread_worker/0]
     19 root     rcu_exp_gp_kthr  0.0  0.0    06:19:57 [rcu_exp_gp_kthread_worker]
     20 root     migration/0      0.0  0.0    06:19:57 [migration/0]
     21 root     idle_inject/0    0.0  0.0    06:19:57 [idle_inject/0]
     22 root     cpuhp/0          0.0  0.0    06:19:57 [cpuhp/0]
     23 root     cpuhp/1          0.0  0.0    06:19:57 [cpuhp/1]
     24 root     idle_inject/1    0.0  0.0    06:19:57 [idle_inject/1]
     25 root     migration/1      0.0  0.0    06:19:57 [migration/1]
     26 root     ksoftirqd/1      0.0  0.0    06:19:57 [ksoftirqd/1]
     28 root     kworker/1:0H-ev  0.0  0.0    06:19:57 [kworker/1:0H-events_highpri]
     29 root     cpuhp/2          0.0  0.0    06:19:57 [cpuhp/2]
     30 root     idle_inject/2    0.0  0.0    06:19:57 [idle_inject/2]
     31 root     migration/2      0.0  0.0    06:19:57 [migration/2]
     32 root     ksoftirqd/2      0.0  0.0    06:19:57 [ksoftirqd/2]
     34 root     kworker/2:0H-ev  0.0  0.0    06:19:57 [kworker/2:0H-events_highpri]
     35 root     cpuhp/3          0.0  0.0    06:19:57 [cpuhp/3]
     36 root     idle_inject/3    0.0  0.0    06:19:57 [idle_inject/3]
     37 root     migration/3      0.0  0.0    06:19:57 [migration/3]
     38 root     ksoftirqd/3      0.0  0.0    06:19:57 [ksoftirqd/3]
     40 root     kworker/3:0H-ev  0.0  0.0    06:19:57 [kworker/3:0H-events_highpri]
     41 root     cpuhp/4          0.0  0.0    06:19:57 [cpuhp/4]
     42 root     idle_inject/4    0.0  0.0    06:19:57 [idle_inject/4]
     43 root     migration/4      0.0  0.0    06:19:57 [migration/4]
     44 root     ksoftirqd/4      0.0  0.0    06:19:57 [ksoftirqd/4]
     45 root     kworker/4:0-eve  0.0  0.0    06:19:57 [kworker/4:0-events]
     46 root     kworker/4:0H-ev  0.0  0.0    06:19:57 [kworker/4:0H-events_highpri]
     47 root     cpuhp/5          0.0  0.0    06:19:57 [cpuhp/5]
     48 root     idle_inject/5    0.0  0.0    06:19:57 [idle_inject/5]
     49 root     migration/5      0.0  0.0    06:19:57 [migration/5]
     50 root     ksoftirqd/5      0.0  0.0    06:19:57 [ksoftirqd/5]
     52 root     kworker/5:0H-ev  0.0  0.0    06:19:57 [kworker/5:0H-events_highpri]
     53 root     cpuhp/6          0.0  0.0    06:19:57 [cpuhp/6]
     54 root     idle_inject/6    0.0  0.0    06:19:57 [idle_inject/6]
     55 root     migration/6      0.0  0.0    06:19:57 [migration/6]
